engine_power_kw,engine_capacity_cc,version,type_approval_number,make,vehicle_type,co2_nedc_gpkm,model,mass_kg,fuel_mode,fuel_type,member_state,category_type_approved,manufacturer_name_eu,registrations,horsepower
66.0,1461.0,2RAJ1A,E2*2001/116*0327*80,RENAULT,R,95.0,CAPTUR,1253.0,M,DIESEL,FR,M1,RENAULT,1,88.5
96.0,1197.0,MRBABB005000,E2*2007/46*0475*04,RENAULT,RFE,132.0,KADJAR,1448.0,M,PETROL,FR,M1,RENAULT,1,128.7
55.0,1461.0,5RBF0A,E2*2001/116*0327*83,RENAULT,R,85.0,CLIO,1165.0,M,DIESEL,FR,M1,RENAULT,1,73.8
96.0,1598.0,A4662A010000,E2*2007/46*0546*06,RENAULT,RFB,103.0,MEGANE,1393.0,M,DIESEL,FR,M1,RENAULT,1,128.7
97.0,1197.0,MRB62B010000,E2*2007/46*0546*06,RENAULT,RFB,124.0,MEGANE,1394.0,M,PETROL,FR,M1,RENAULT,1,130.1
92.0,1598.0,MH1000642A00,E2*98/14*0213*57,RENAULT,JL,145.0,TRAFIC,1923.0,M,DIESEL,FR,M1,RENAULT,1,123.4
97.0,1197.0,MR6RVA015000,E2*2007/46*0574*01,RENAULT,RFA,129.0,SCENIC,1505.0,M,PETROL,FR,M1,RENAULT,1,130.1
81.0,1461.0,A36RVA015000,E2*2007/46*0574*01,RENAULT,RFA,100.0,SCENIC,1505.0,M,DIESEL,FR,M1,RENAULT,1,108.6
118.0,1598.0,A5ARVA017000,E2*2007/46*0574*02,RENAULT,RFA,122.0,SCENIC,1735.0,M,DIESEL,FR,M1,RENAULT,1,158.2
151.0,1618.0,MVB62C010000,E2*2007/46*0546*06,RENAULT,RFB,134.0,MEGANE,1467.0,M,PETROL,BE,M1,RENAULT,1,202.5
60.0,1199.0,DDHMZ6,e2*2007/46*0225*08,CITROEN,D,114.0,C-ELYSEE,1109.0,M,PETROL,HR,M1 ,AUTOMOBILES CITROEN,1,80.5
133.0,1997.0,NXAHWT/S,e2*2007/46*0040*25,DS,NX,115.0,DS 4,1585.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,178.4
88.0,1560.0,NXBHZM/S,e2*2007/46*0040*25,DS,NX,103.0,DS 4,1483.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,118.0
133.0,1997.0,KFAHWT/S,e2*2007/46*0092*14,DS,K,114.0,DS 5,1754.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,178.4
88.0,1560.0,KFBHZM/1S,e2*2007/46*0092*14,DS,K,104.0,DS 5,1634.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,118.0
133.0,1997.0,KFAHWT/S,e2*2007/46*0092*10,CITROEN,K,118.0,DS5,1754.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,178.4
96.0,1997.0,YB2MRB/HY9,e3*2001/116*0234*14,CITROEN,Y,158.0,JUMPER,2378.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,128.7
120.0,1997.0,YB3MPB/HY9,e3*2001/116*0234*14,CITROEN,Y,163.0,JUMPER,2595.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,160.9
110.0,1997.0,VEAHXH-P2B00L,e2*2007/46*0530*01,CITROEN,V,139.0,JUMPY SPACETOURER,2130.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,147.5
85.0,1560.0,BHXH-P2B00N,e2*2007/46*0530*03,CITROEN,V,137.0,JUMPY SPACETOURER,2118.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,114.0
130.0,1997.0,AHHW-P2B00N,e2*2007/46*0530*03,CITROEN,V,155.0,JUMPY SPACETOURER,2210.0,M,DIESEL,HR,M1 ,AUTOMOBILES CITROEN,1,174.3
60.0,1199.0,CCHMZ6,e2*2007/46*0070*31,PEUGEOT,C,104.0,208,1189.0,M,PETROL,HR,M1 ,AUTOMOBILES PEUGEOT,1,80.5
55.0,1560.0,CCBHW6,e2*2007/46*0070*34,PEUGEOT,C,90.0,208,1280.0,M,DIESEL,HR,M1 ,AUTOMOBILES PEUGEOT,1,73.8
140.0,1969.0,PSA8BD??,e4*2007/46*1067*00,VOLVO,P,116.0,S90,1717.0,M,DIESEL,DK,M1,VOLVO,1,187.7
187.0,1969.0,PS10BD??,e4*2007/46*1067*00,VOLVO,P,149.0,S90,1712.0,M,PETROL,DK,M1,VOLVO,1,250.8
